Absence pracovníka na pracovišti se týká fáze operativního řízení a stádia rozhodování;ANO
Absence pracovníka na pracovišti se týká fáze organizace a stádia rozhodování;NE
Agregace je procesem spojování mezi systémy;NE
Bitva u Kreščaku se konala v roce 1346;ANO
Cílový stav patří k základním dimenzím organizačního systému;ANO
Časové zpoždění v systému je doba, která uplyne od okamžiku, kdy se na vstupu objeví rozhodující podnět až do okamžiku, kdy se výstupu objeví odezva;ANO
Činnost systému je jedním z případů jeho chování;ANO
Činnost systému je případem jeho chování;ANO
Delegovat nelze odpovědnost;ANO
Desagregace zvětšuje složitost struktury systému;ANO
Diferenciace zvětšuje složitost struktury systému;NE
Doba procesu je součtem doby cyklu a zpětné vazby.;NE
Dobu cyklu můžeme určit i bez existence zpětné vazby mezi vstupními a výstupními prvky;NE
Druhým stupněm organizační struktury je vždy závod;NE
Ekonomický systém podniku je systémem reálným a relativně izolovaným;ANO
Elementarismus se zabývá jen kvalitou částí celku, ne vazbami mezi nimi;ANO
Elementy stability jsou výrobní prostředky.;NE
Expanzivnost členů skupiny 0,12 a jeho status 0,15 vymezují marginální členství;NE
Hmotné vztahy mezi člověkem a výrobním prostředkem vymezuje ekonomicko-ekologický subsystém;NE
Hmotné vztahy mezi člověkem a výrobním prostředkem vymezuje koherentně pracovní systém;ANO
Homomorfní vztah vyjadřuje podobu mezi dvěma objekty zájmu;ANO
Homomorfní vztah vyjadřuje shodu mezi dvěma objekty;NE
Chování deterministického systému má hodnotu 0 a 1;ANO
Chování je případem činnosti systému;ANO
Chování řídícího a ovládajícího systému se nemusí lišit;NE
Chování systému je ovlivněno časovým zpožděním mezi podněty a reakcemi;ANO
Chování systému je případem jeho činností;NE
Chování systému je zobecněním jeho činností;ANO
Chování systému ovlivňuje i časové zpoždění mezi podněty a reakcemi;ANO
Chování systému ovlivňují výstupu z minulých intervalů;ANO
Index interakce patří ke skupinovým ukazatelům úrovně neformálních vztahů;ANO
Informace existuje jen v souvislosti se systémem, jehož činnost ovlivňuje;ANO
Integrace je procesem spojování mezi systémy;ANO
Integrace je procesem zjednodušujícím strukturu systému;ANO
Integrace může probíhat současně s desagregací.;ANO
Integrace snižuje složitost struktury systému.;ANO
Integrace subsystémů sleduje udržování jejich proporcionality;NE
Jedno-jednoznačná transformace má tvar cyklu;ANO
Jedno-jednoznačná transformace má v řádku obrazů dva stejné stavy;NE
Jednotlivé činnosti systému jsou součástí jeho chování;ANO
Jednotlivé subsystémy organizačního systému se vyznačují vzájemnou zastupitelností;NE
Jednou z podmínek řízení je, aby řídící systém byl ochoten informaci vyslat;NE
Jednoznačná transformace má v řádku operandů minimálně 2 stejné stavy;ANO
Je-li expanzivnost člena skupiny 0,32 a jeho status 0,35, jde o marginální členství;NE
JOP je základním organizačním systémem;NE
Jsou 4 fáze a 4 stádia cyklu řízení;NE
Každá organizační jednotka je organizačním stupněm a naopak;NE
Každé schéma informačního působení obsahuje přímou zpětnou vazbu;NE
Každé schéma informačního působení obsahuje vlastní zpětnou vazbu.;ANO
Každý organizační systém není organizační jednotkou;NE
